steadyClockTime,cvTime,celcius,throttleStatus,clockSpeed
3770578231,,40894,131072,1500398464
3810579524,,40894,131072,1500345728
3844322050,,41868,131072,1500345728
3878540035,,41868,131072,1500398464
3918544717,,42355,131072,1500345728
3958560973,,41868,131072,1500398464
3998556859,,41868,131072,1500398464
4038549874,,41868,131072,1500345728
4078560296,,41868,131072,1500398464
4114559021,,41381,131072,1500345728
4154587055,,42355,131072,1500345728
4194539071,,42355,131072,1500398464
4234546197,,41868,131072,1500398464
4258598661,,41381,131072,1500398464
4294555294,,41381,131072,1500398464
4330547852,,42355,131072,1500398464
4374537010,,42355,131072,1500398464
4418555630,,42355,131072,1500398464
4458547182,,42355,131072,1500398464
4486544641,,42842,131072,1500345728
4514546470,,42355,131072,1500345728
4558567017,,41381,131072,1500398464
4602551193,,42355,131072,1500345728
4638565807,,41868,131072,1500345728
4674560217,,42355,131072,1500345728
4710542072,,42355,131072,1500398464
4746554705,,42842,131072,1500398464
4786563479,,42355,131072,1500345728
4822548575,,42355,131072,1500345728
4862563776,,43329,131072,1500398464
4902558588,,41868,131072,1500345728
4934553819,,42842,131072,1500398464
4974546057,,42842,131072,1500345728
5014607053,,42842,131072,1500345728
5054593736,,43816,131072,1500345728
5090567017,,43329,131072,1500345728
5126551965,,41868,131072,1500345728
5171731758,,41381,131072,1500345728
5204384853,,42355,131072,1500345728
5250542469,,42355,131072,1500345728
5290556003,,42355,131072,1500398464
5334560216,,42355,131072,1500398464
5374550843,,42842,131072,1500345728
5418537150,,42842,131072,1500345728
5454561504,,42355,131072,1500345728
5494549039,,42842,131072,1500398464
5534545851,,43329,131072,1500345728
5574539385,,43816,131072,1500345728
5614546789,,42355,131072,1500345728
5654554972,,43816,131072,1500345728
5694560544,,42842,131072,1500398464
5734584078,,42842,131072,1500345728
5778558440,,43816,131072,1500345728
5818563068,,42842,131072,1500345728
5858566621,,41868,131072,1500345728
5894541365,,43329,131072,1500345728
5930554479,,44790,131072,1500345728
5970562662,,42842,131072,1500345728
6010565011,,42842,131072,1500345728
6050559417,,43816,131072,1500345728
6094559649,,42842,131072,1500345728
6134610813,,43816,131072,1500398464
6170545669,,42842,131072,1500345728
6210582258,,42355,131072,1500398464
6250756328,,43329,131072,1500398464
6278788750,,43816,131072,1500398464
6310777278,,43816,131072,1500345728
6346767041,,42355,131072,1500345728
6378759180,,43816,131072,1500345728
6402770830,,44303,131072,1500398464
6442551645,,42842,131072,1500345728
6478545074,,43329,131072,1500398464
6518566868,,43816,131072,1500345728
6562554193,,43329,131072,1500398464
6598561363,,44790,131072,1500345728
6646541720,,43329,131072,1500398464
6682547909,,43816,131072,1500345728
6722564777,,43816,131072,1500345728
6762558349,,43329,131072,1500345728
6806582323,,44303,131072,1500345728
6850546334,,44303,131072,1500398464
6894541974,,42355,131072,1500398464
6938551281,,44790,131072,1500398464
6970618253,,42842,131072,1500345728
7010540048,,44790,131072,1500345728
7050582582,,44303,131072,1500398464
7090594117,,43329,131072,1500345728
7138572845,,44303,131072,1500398464
7178547917,,44303,131072,1500398464
7222557520,,44303,131072,1500345728
7262794294,,43816,131072,1500398464
7302551646,,43329,131072,1500398464
7342541478,,43329,131072,1500398464
7382593123,,43816,131072,1500345728
7426552727,,43816,131072,1500345728
7466548781,,43816,131072,1500345728
7506539593,,43329,131072,1500345728
7546560573,,43329,131072,1500345728
7586543534,,44790,131072,1500345728
7622562315,,43816,131072,1500345728
7662548462,,43816,131072,1500345728
7698544448,,43816,131072,1500398464
7738568501,,43816,131072,1500345728
7778563500,,44790,131072,1500345728
7810551658,,43816,131072,1500345728
7850543508,,44303,131072,1500345728
7886541475,,44303,131072,1500398464
7926545603,,44303,131072,1500345728
7966547620,,42842,131072,1500345728
7998570815,,43816,131072,1500345728
8038551943,,44303,131072,1500345728
8078585719,,43816,131072,1500345728
8118597958,,44303,131072,1500345728
8158561272,,43816,131072,1500345728
8198556122,,44303,131072,1500345728
8234553478,,44790,131072,1500398464
8270579148,,44303,131072,1500398464
8290569083,,43329,131072,1500345728
8334570687,,44303,131072,1500398464
8374556000,,44303,131072,1500398464
8418548122,,43816,131072,1500345728
8458549269,,43816,131072,1500398464
8494548606,,44790,131072,1500345728
8538545007,,43816,131072,1500345728
8582541796,,44790,131072,1500398464
8618568448,,44303,131072,1500398464
8662553330,,44790,131072,1500345728
8702579995,,44303,131072,1500345728
8746554470,,44303,131072,1500345728
8786567006,,44790,131072,1500345728
8822807563,,45277,131072,1500398464
8866554003,,45277,131072,1500345728
8906546299,,44790,131072,1500345728
8946584223,,45277,131072,1500345728
8986584629,,43816,131072,1500345728
9026580961,,44790,131072,1500398464
9066593275,,44303,131072,1500398464
9106555311,,44790,131072,1500345728
9142547390,,44790,131072,1500345728
9170551628,,45277,131072,1500345728
9214553232,,44790,131072,1500398464
9254568064,,44790,131072,1500398464
9290636105,,44790,131072,1500398464
9334570136,,44790,131072,1500398464
9370543437,,44790,131072,1500398464
9410569231,,44790,131072,1500398464
9450548268,,44303,131072,1500398464
9463973458,,44303,131072,1500345728
9506600484,,44303,131072,1500345728
9526760880,,43816,131072,1500345728
9566552103,,44790,131072,1500345728
9602546293,,43816,131072,1500398464
9642558384,,43816,131072,1500345728
9682554735,,44790,131072,1500345728
9718587666,,44790,131072,1500345728
9750555195,,44303,131072,1500398464
9790564620,,45277,131072,1500345728
9822572390,,43816,131072,1500345728
9858553432,,44790,131072,1500345728
9894566937,,44790,131072,1500345728
9926546873,,44303,131072,1500398464
9970544496,,44303,131072,1500398464
10006561779,,44790,131072,1500345728
10046565797,,43816,131072,1500398464
10082555783,,45277,131072,1500345728
10122554393,,45764,131072,1500398464
10162549707,,44790,131072,1500398464
10198541009,,45277,131072,1500345728
10230549741,,44303,131072,1500345728
10274555383,,44303,131072,1500398464
10314940285,,44303,131072,1500398464
10358559042,,45277,131072,1500398464
10390561423,,45277,131072,1500398464
10426574909,,46251,131072,1500398464
10466566779,,45277,131072,1500398464
10506555130,,45277,131072,1500398464
10546568777,,44303,131072,1500345728
10586567332,,45764,131072,1500345728
10626566091,,45277,131072,1500345728
10666557757,,44790,131072,1500398464
10702544096,,44790,131072,1500398464
10738549379,,44790,131072,1500398464
10778552341,,45277,131072,1500398464
10814559272,,45277,131072,1500345728
10854544402,,45277,131072,1500345728
10882550381,,45277,131072,1500345728
10926545523,,44790,131072,1500345728
10970571110,,45764,131072,1500398464
11010590146,,44790,131072,1500345728
11050554516,,45277,131072,1500345728
11090567942,,45764,131072,1500345728
11134541214,,45277,131072,1500345728
11174574676,,44303,131072,1500398464
11214546676,,45277,131072,1500345728
11262548535,,45277,131072,1500345728
11306588621,,45277,131072,1500398464
11346571362,,45764,131072,1500345728
11382543589,,45764,131072,1500398464
11422581607,,45277,131072,1500345728
11462571625,,45277,131072,1500345728
11502582421,,44790,131072,1500345728
11546539508,,46251,131072,1500345728
11590543891,,45277,131072,1500345728
11630589242,,44790,131072,1500345728
11662554180,,45764,131072,1500345728
11702567939,,45277,131072,1500345728
11742548032,,45277,131072,1500398464
11782537180,,45764,131072,1500398464
11818554167,,46251,131072,1500398464
11850549770,,46251,131072,1500398464
11890545826,,45764,131072,1500345728
11930590548,,45764,131072,1500398464
11970539085,,44303,131072,1500345728
12010552696,,45764,131072,1500398464
12050537530,,45764,131072,1500345728
12090542085,,45764,131072,1500345728
12104052349,,45764,131072,1500345728
12142587161,,45764,131072,1500345728
12178558130,,45277,131072,1500345728
12222556458,,45764,131072,1500398464
12262578105,,44790,131072,1500398464
12302592568,,44790,131072,1500398464
12338545704,,44790,131072,1500345728
12374784874,,44790,131072,1500345728
12410569641,,45277,131072,1500345728
12450587085,,45764,131072,1500398464
12490588992,,46251,131072,1500345728
12534544691,,45764,131072,1500345728
12574552321,,44790,131072,1500345728
12614555302,,46251,131072,1500398464
12650564104,,46251,131072,1500345728
12694544414,,45764,131072,1500345728
12734567655,,46738,131072,1500398464
12774579970,,46251,131072,1500345728
12810558013,,45764,131072,1500345728
12842572043,,45764,131072,1500398464
12878562864,,45277,131072,1500345728
12918550161,,45764,131072,1500345728
12958565031,,45277,131072,1500345728
12998561995,,45277,131072,1500398464
13030554840,,45764,131072,1500345728
13070552692,,44790,131072,1500345728
13110589599,,45764,131072,1500345728
13146588013,,46251,131072,1500345728
13186566717,,46251,131072,1500398464
13226558014,,45764,131072,1500398464
13266546959,,46251,131072,1500345728
13306561978,,46738,131072,1500398464
13346541534,,46251,131072,1500345728
13390570399,,45277,131072,1500345728
13418542027,,45764,131072,1500398464
13462544800,,46251,131072,1500345728
13502550115,,46251,131072,1500345728
13534559552,,45277,131072,1500345728
13574554293,,46738,131072,1500345728
13614554794,,45764,131072,1500345728
13650544948,,46738,131072,1500345728
13682549701,,46251,131072,1500345728
13726554659,,45764,131072,1500345728
13766558456,,46251,131072,1500398464
13810554044,,45764,131072,1500345728
13850567378,,46251,131072,1500345728
13890545546,,45764,131072,1500345728
13930566454,,45764,131072,1500398464
13970555843,,46738,131072,1500398464
14010577900,,46251,131072,1500398464
14050546345,,47225,131072,1500398464
14086571333,,46738,131072,1500345728
14126543778,,45277,131072,1500345728
14140021135,,46251,131072,1500345728
14178580873,,45764,131072,1500398464
14218552374,,46251,131072,1500398464
14258563412,,47225,131072,1500345728
14302592314,,46251,131072,1500398464
14334575826,,46251,131072,1500345728
14374580327,,46738,131072,1500345728
14411193512,,46738,131072,1500345728
14442561697,,45277,131072,1500345728
14478547389,,46738,131072,1500398464
14518545964,,45277,131072,1500398464
14562544552,,46251,131072,1500345728
14602544701,,46251,131072,1500398464
14642548813,,45764,131072,1500345728
14686568808,,46251,131072,1500398464
14722572500,,45764,131072,1500398464
14758556692,,46251,131072,1500398464
14794548736,,45764,131072,1500345728
14838578750,,46251,131072,1500345728
14874594682,,46251,131072,1500345728
14914565795,,46251,131072,1500345728
14950591671,,46738,131072,1500345728
14990580450,,46738,131072,1500345728
15030569044,,46251,131072,1500398464
15066567884,,45764,131072,1500345728
15102554447,,46251,131072,1500398464
15130564575,,47712,131072,1500398464
15174558386,,46251,131072,1500345728
15218554530,,46251,131072,1500345728
15250542634,,46738,131072,1500345728
15290548580,,46251,131072,1500345728
15303988623,,46738,131072,1500345728
15342557954,,47225,131072,1500398464
15378596515,,45764,131072,1500345728
15423438687,,45764,131072,1500345728
15458556926,,46251,131072,1500398464
15498564334,,47712,131072,1500398464
15538552132,,47712,131072,1500345728
15578546800,,46251,131072,1500398464
15618551431,,46251,131072,1500345728
15662544575,,46738,131072,1500345728
